id,name,brand,collection,price,imageUrl,description,category,notes_top,notes_middle,notes_base,officialUrl,fragranticaUrl
2025,Eau de Basilic Pourpre,Hermès,Les Colognes Hermès,$110.00,/images/perfumes/Hermes_Eau_de_Basilic_Pourpre.png,"A lively and radiant cologne, celebrating the aromatic freshness of purple basil.",Aromatic,Purple Basil,"Green Notes, Geranium",Spices,https://www.hermes.com/us/en/product/eau-de-basilic-pourpre-eau-de-cologne-V88003/,https://www.fragrantica.com/perfume/Hermes/Eau-de-Basilic-Pourpre-75867.html
2026,Eau de Mandarine Ambrée,Hermès,Les Colognes Hermès,$110.00,/images/perfumes/Hermes_Eau_de_Mandarine_Ambree.png,"A radiant and enveloping cologne, combining the lively zest of mandarin with the soft warmth of amber.",Citrus,Mandarin Orange,Passionfruit,Amber,https://www.hermes.com/us/en/product/eau-de-mandarine-ambree-eau-de-cologne-V34193/,https://www.fragrantica.com/perfume/Hermes/Eau-de-Mandarine-Ambree-23056.html
2027,Voyage d'Hermès,Hermès,Les Colognes Hermès,$153.00,/images/perfumes/Hermes_Voyage_d_Hermes.png,"A lively and reassuring fragrance, new and familiar, a woody fresh, ambery scent.",Woody,"Cardamom, Lemon, Spices","Tea, Floral Notes, Green Notes","Musk, Woody Notes, Amber",https://www.hermes.com/us/en/product/voyage-d-hermes-eau-de-toilette-V65111/,https://www.fragrantica.com/perfume/Hermes/Voyage-d-Hermes-8215.html
2028,24 Faubourg,Hermès,Signature Lines,$135.00,/images/perfumes/Hermes_24_Faubourg.png,"A luminous and warm white floral chypre, an invitation to travel and explore the sun.",Floral,"Orange, Peach, Hyacinth, Gardenia, Bergamot","Black Elderberry, Iris, Orange Blossom, Gardenia, Jasmine","Amber, Sandalwood, Patchouli, Vanilla",https://www.hermes.com/us/en/product/24-faubourg-eau-de-parfum-V34168/,https://www.fragrantica.com/perfume/Hermes/24-Faubourg-14.html
2029,Calèche,Hermès,Signature Lines,$125.00,/images/perfumes/Hermes_Caleche.png,"A timeless floral aldehyde fragrance, embodying ultimate feminine elegance.",Floral,"Aldehydes, Bergamot, Lemon, Neroli","Iris, Rose, Jasmine, Gardenia","Sandalwood, Vetiver, Oakmoss, Amber, Tonka Bean",https://www.hermes.com/us/en/product/caleche-eau-de-toilette-V34163/,https://www.fragrantica.com/perfume/Hermes/Caleche-12.html
2030,Kelly Calèche,Hermès,Signature Lines,$135.00,/images/perfumes/Hermes_Kelly_Caleche.png,"A light, airy, and feminine leather fragrance, playful yet sophisticated.",Floral,"Lily-of-the-Valley, Grapefruit, Narcissus","Rose, Tuberose, Mimosa","Leather, Iris",https://www.hermes.com/us/en/product/kelly-caleche-eau-de-parfum-V34175/,https://www.fragrantica.com/perfume/Hermes/Kelly-Caleche-1976.html
2031,Equipage,Hermès,Signature Lines,$125.00,/images/perfumes/Hermes_Equipage.png,"A classic woody-spicy fragrance for men, embodying an elegant and virile masculinity.",Woody,"Nutmeg, Pine Tree Needles, Bergamot, Clary Sage, Brazilian Rosewood","Carnation, Jasmine, Lily-of-the-Valley","Oakmoss, Vetiver, Patchouli, Tonka Bean, Amber",https://www.hermes.com/us/en/product/equipage-eau-de-toilette-V35622/,https://www.fragrantica.com/perfume/Hermes/Equipage-44.html
2032,Bel Ami,Hermès,Signature Lines,$125.00,/images/perfumes/Hermes_Bel_Ami.png,"A warm and sensual woody leather fragrance for men, evoking a refined masculinity.",Woody,"Lemon, Bergamot, Mandarin Orange, Clary Sage","Patchouli, Carnation, Cedar, Orris Root","Leather, Vanilla, Vetiver, Amber",https://www.hermes.com/us/en/product/bel-ami-eau-de-toilette-V35620/,https://www.fragrantica.com/perfume/Hermes/Bel-Ami-43.html
2033,Ambre Narguilé,Hermès,Hermessence Collection,$280.00,/images/perfumes/Hermes_Ambre_Narguile.png,"A warm and sensual fragrance, an ode to amber, honey, and oriental tobacco.",Oriental,"Cinnamon, Rum, Honey","Caramel, Sesame, Cumin","Tonka Bean, Vanilla, Tobacco, Coumarin, Labdanum",https://www.hermes.com/us/en/product/hermessence-ambre-narguile-eau-de-toilette-V38347/,https://www.fragrantica.com/perfume/Hermes/Hermessence-Ambre-Narguile-19.html
2034,Poivre Samarcande,Hermès,Hermessence Collection,$280.00,/images/perfumes/Hermes_Poivre_Samarcande.png,"A woody and spicy fragrance, inspired by the ancient Silk Road, featuring robust pepper.",Woody,Green Notes,"Pepper, Paprika","Cedar, Oakmoss, Cumin",https://www.hermes.com/us/en/product/hermessence-poivre-samarcande-eau-de-toilette-V38348/,https://www.fragrantica.com/perfume/Hermes/Hermessence-Poivre-Samarcande-1033.html
2035,Rose Ikebana,Hermès,Hermessence Collection,$280.00,/images/perfumes/Hermes_Rose_Ikebana.png,"A delicate and vibrant rose, balancing floral notes with crisp rhubarb, inspired by Japanese floral art.",Floral,"Rose, Rhubarb","Grapefruit, Pink Pepper","Musk, Spices",https://www.hermes.com/us/en/product/hermessence-rose-ikebana-eau-de-toilette-V38349/,https://www.fragrantica.com/perfume/Hermes/Hermessence-Rose-Ikebana-1034.html
2036,Vetiver Tonka,Hermès,Hermessence Collection,$280.00,/images/perfumes/Hermes_Vetiver_Tonka.png,"A warm and gourmand vetiver, combining the earthy root with sweet, roasted tonka bean.",Woody,"Vetiver, Tonka Bean","Caramel, Hazelnut","Tobacco, Sandalwood",https://www.hermes.com/us/en/product/hermessence-vetiver-tonka-eau-de-toilette-V38350/,https://www.fragrantica.com/perfume/Hermes/Hermessence-Vetiver-Tonka-1035.html
2037,Santal Massoïa,Hermès,Hermessence Collection,$280.00,/images/perfumes/Hermes_Santal_Massoia.png,"A creamy and milky woody fragrance, combining sandalwood with the softness of massoia bark.",Woody,"Massoia Wood, Sandalwood","Milk, Coconut","Musk, Floral Notes",https://www.hermes.com/us/en/product/hermessence-santal-massoia-eau-de-toilette-V38351/,https://www.fragrantica.com/perfume/Hermes/Hermessence-Santal-Massoia-13762.html
2038,Cuir d'Ange,Hermès,Hermessence Collection,$280.00,/images/perfumes/Hermes_Cuir_d_Ange.png,"A light and delicate leather fragrance, like an angel's skin, soft and powdery.",Woody,"Heliotrope, Hawthorn","Leather, Violet","Musk, Cedar",https://www.hermes.com/us/en/product/hermessence-cuir-d-ange-eau-de-toilette-V38352/,https://www.fragrantica.com/perfume/Hermes/Hermessence-Cuir-d-Ange-28046.html
2039,Myrrhe Églantine,Hermès,Hermessence Collection,$280.00,/images/perfumes/Hermes_Myrrhe_Eglantine.png,"A beautiful blend of myrrh and wild rose, evoking a walk in an ancient, fragrant garden.",Oriental,Rose Hips,"Myrrh, Wild Rose",Amber,https://www.hermes.com/us/en/product/hermessence-myrrhe-eglantine-eau-de-toilette-V38353/,https://www.fragrantica.com/perfume/Hermes/Hermessence-Myrrhe-Eglantine-38381.html
2040,Epice Marine,Hermès,Hermessence Collection,$280.00,/images/perfumes/Hermes_Epice_Marine.png,"A unique blend of marine and spicy notes, reminiscent of a sea breeze carrying the scent of spices.",Spicy,"Bergamot, Elemi","Cardamom, Cumin, Cinnamon","Vetiver, Oakmoss, Myrrh, Whiskey",https://www.hermes.com/us/en/product/hermessence-epice-marine-eau-de-toilette-V38354/,https://www.fragrantica.com/perfume/Hermes/Hermessence-Epice-Marine-23253.html
2041,Cardamusc,Hermès,Hermessence Collection,$280.00,/images/perfumes/Hermes_Cardamusc.png,"An aromatic and musky fragrance, centered around the warmth of cardamom and musk.",Spicy,Cardamom,Musk,Woody Notes,https://www.hermes.com/us/en/product/hermessence-cardamusc-eau-de-toilette-V38355/,https://www.fragrantica.com/perfume/Hermes/Hermessence-Cardamusc-48566.html
2042,Agar Ébène,Hermès,Hermessence Collection,$280.00,/images/perfumes/Hermes_Agar_Ebene.png,"A deep and smoky woody fragrance, highlighting the richness of agarwood (oud) and frankincense.",Woody,Agarwood (Oud),Frankincense,Woody Notes,https://www.hermes.com/us/en/product/hermessence-agar-ebene-eau-de-toilette-V38356/,https://www.fragrantica.com/perfume/Hermes/Hermessence-Agar-Ebene-48567.html
2043,Cèdre Sambac,Hermès,Hermessence Collection,$280.00,/images/perfumes/Hermes_Cedre_Sambac.png,"A woody and floral fragrance, combining the strength of cedar with the softness of jasmine sambac.",Woody,Jasmine Sambac,Cedar,Musk,https://www.hermes.com/us/en/product/hermessence-cedre-sambac-eau-de-toilette-V38357/,https://www.fragrantica.com/perfume/Hermes/Hermessence-Cedre-Sambac-50123.html
2044,Hiver en Mai,Hermès,Hermessence Collection,$280.00,/images/perfumes/Hermes_Hiver_en_Mai.png,"A poetic and evocative scent, capturing the freshness of spring with a hint of winter's crispness.",Fresh,"Mint, Lemon","Green Notes, Rose","Musk, Woody Notes",https://www.hermes.com/us/en/product/hermessence-hiver-en-mai-eau-de-toilette-V38358/,https://www.fragrantica.com/perfume/Hermes/Hermessence-Hiver-en-Mai-60913.html
