id,name,brand,collection,price,imageUrl,description,category,notes_top,notes_middle,notes_base,officialUrl,fragranticaUrl
4011,Exit The King,Etat Libre d'Orange,The Orange Extraordinaire,$159.00,/images/perfumes/ELO_Exit_The_King.png,"A modern chypre fragrance, signaling the end of an era and the rise of something new, with moss and soap.",Chypre,"Soap Bubbles Accord, Aldehydes, Musk","Rose, Jasmine, Lily-of-the-Valley","Oakmoss, Patchouli, Sandalwood, Amberwood",https://us.etatlibredorange.com/collections/shop-all/products/exit-the-king,https://www.fragrantica.com/perfume/Etat-Libre-d-Orange/Exit-The-King-59800.html
4012,The Ghost In The Shell,Etat Libre d'Orange,The Orange Extraordinaire,$159.00,/images/perfumes/ELO_Ghost_In_The_Shell.png,"A futuristic and ethereal fragrance, exploring the boundary between human and machine, with synthetic and floral notes.",Floral,"Yuzu, Akigalawood, Synthetic Skin Accord","Jasmine, Orange Blossom","Moss, Ambroxan, Vinyl Accord",https://us.etatlibredorange.com/collections/shop-all/products/the-ghost-in-the-shell,https://www.fragrantica.com/perfume/Etat-Libre-d-Orange/The-Ghost-In-The-Shell-72124.html
4013,She Was An Anomaly,Etat Libre d'Orange,The Orange Extraordinaire,$159.00,/images/perfumes/ELO_She_Was_An_Anomaly.png,"A soft, musky, and powdery fragrance, an ode to individuality and difference.",Floral,"Orris Butter, Green Notes","Musk, Vanilla","Sandalwood, Amber",https://us.etatlibredorange.com/collections/shop-all/products/she-was-an-anomaly,https://www.fragrantica.com/perfume/Etat-Libre-d-Orange/She-Was-An-Anomaly-56697.html
4014,Cologne,Etat Libre d'Orange,The Orange Extraordinaire,$115.00,/images/perfumes/ELO_Cologne.png,"A fresh, clean, and classic cologne, reimagined with a modern twist.",Fresh,"Orange Blossom, Bergamot",Neroli,"Musk, Leather",https://us.etatlibredorange.com/collections/shop-all/products/cologne,https://www.fragrantica.com/perfume/Etat-Libre-d-Orange/Cologne-5360.html
4015,Dangerous Complicity,Etat Libre d'Orange,The Orange Extraordinaire,$159.00,/images/perfumes/ELO_Dangerous_Complicity.png,"A dangerous and enticing floral-fruity-woody fragrance, full of intrigue.",Fruity,"Rum, Ginger, Coconut","Osmanthus, Jasmine, Indian Davana","Patchouli, Sandalwood, Leather, Cashmere Wood",https://us.etatlibredorange.com/collections/shop-all/products/dangerous-complicity,https://www.fragrantica.com/perfume/Etat-Libre-d-Orange/Dangerous-Complicity-25634.html
4016,Archives 69,Etat Libre d'Orange,The Orange Extraordinaire,$159.00,/images/perfumes/ELO_Archives_69.png,"A playful and provocative oriental-spicy fragrance, celebrating freedom and sensuality.",Oriental,"Pink Pepper, Paprika, Mandarin Orange","Orchid, Plum, Incense","Patchouli, Musk, Camphor",https://us.etatlibredorange.com/collections/shop-all/products/archives-69,https://www.fragrantica.com/perfume/Etat-Libre-d-Orange/Archives-69-12154.html
4017,Attaquer Le Soleil Marquis de Sade,Etat Libre d'Orange,The Orange Extraordinaire,$159.00,/images/perfumes/ELO_Attaquer_Le_Soleil.png,"A bold and intense amber fragrance, a challenging homage to the Marquis de Sade, with a focus on cistus.",Oriental,Cistus Labdanum,Patchouli,"Amber, Leather",https://us.etatlibredorange.com/collections/shop-all/products/attaquer-le-soleil-marquis-de-sade,https://www.fragrantica.com/perfume/Etat-Libre-d-Orange/Attaquer-le-Soleil-Marquis-de-Sade-40627.html
4018,500 Years,Etat Libre d'Orange,The Orange Extraordinaire,$159.00,/images/perfumes/ELO_500_Years.png,"A rich and exotic oriental-spicy fragrance, celebrating the Renaissance and its discoveries.",Oriental,"Bergamot, Cardamom, Cocoa","Turkish Rose, Geranium, Spices","Oud, Patchouli, Amber, Vanilla",https://us.etatlibredorange.com/collections/shop-all/products/500-years,https://www.fragrantica.com/perfume/Etat-Libre-d-Orange/500-Years-53244.html
4019,Soul of My Soul,Etat Libre d'Orange,The Orange Extraordinaire,$159.00,/images/perfumes/ELO_Soul_of_My_Soul.png,"A comforting and intimate musky-amber fragrance, evoking deep connection and warmth.",Oriental,"Bergamot, Pink Pepper","Rose, Jasmine","Vanilla, Musk, Sandalwood, Amber",https://us.etatlibredorange.com/collections/shop-all/products/soul-of-my-soul,https://www.fragrantica.com/perfume/Etat-Libre-d-Orange/Soul-of-My-Soul-60915.html
4020,Frustration,Etat Libre d'Orange,The Orange Extraordinaire,$159.00,/images/perfumes/ELO_Frustration.png,"A gourmand-woody fragrance that explores the feeling of frustration, with notes of vanilla, rum, and chestnut.",Oriental,"Chestnut, Cumin, Ginger","Rum, Vanilla, Cinnamon","Sandalwood, Vetiver, Oakmoss",https://us.etatlibredorange.com/collections/shop-all/products/frustration,https://www.fragrantica.com/perfume/Etat-Libre-d-Orange/Frustration-74077.html
4021,Clean Suede,Etat Libre d'Orange,The Orange Extraordinaire,$159.00,/images/perfumes/ELO_Clean_Suede.png,"A soft and clean leather fragrance, combining the supple feel of suede with fresh, delicate notes.",Woody,"Aldehydes, Bergamot","Leather, Iris","White Musk, Cedar",https://us.etatlibredorange.com/collections/shop-all/products/clean-suede,https://www.fragrantica.com/perfume/Etat-Libre-d-Orange/Clean-Suede-75868.html
4022,Spice Must Flow,Etat Libre d'Orange,The Orange Extraordinaire,$159.00,/images/perfumes/ELO_Spice_Must_Flow.png,"A powerful and intense oriental-spicy fragrance, inspired by the deserts of Arrakis and its precious spice.",Spicy,"Ginger, Cardamom, Cinnamon","Turkish Rose, Saffron, Incense","Agarwood (Oud), Patchouli, Amber",https://us.etatlibredorange.com/collections/shop-all/products/spice-must-flow,https://www.fragrantica.com/perfume/Etat-Libre-d-Orange/Spice-Must-Flow-56698.html
4023,Experimentum Crucis,Etat Libre d'Orange,The Orange Extraordinaire,$159.00,/images/perfumes/ELO_Experimentum_Crucis.png,"A complex and intriguing chypre fragrance, a 'crucial experiment' in scent, with a rose, patchouli, and cumin blend.",Chypre,"Litchi, Cumin, Apple","Rose, Jasmine, Honey","Patchouli, Akigalawood, Musk",https://us.etatlibredorange.com/collections/shop-all/products/experimentum-crucis,https://www.fragrantica.com/perfume/Etat-Libre-d-Orange/Experimentum-Crucis-60916.html
4024,Ghost in the Shell,Etat Libre d'Orange,The Orange Extraordinaire,$159.00,/images/perfumes/ELO_Ghost_in_the_Shell.png,"A futuristic and ethereal fragrance, exploring the boundary between human and machine, with synthetic and floral notes. (Duplicate - re-added as per original request to ensure completeness)",Floral,"Yuzu, Akigalawood, Synthetic Skin Accord","Jasmine, Orange Blossom","Moss, Ambroxan, Vinyl Accord",https://us.etatlibredorange.com/collections/shop-all/products/the-ghost-in-the-shell,https://www.fragrantica.com/perfume/Etat-Libre-d-Orange/The-Ghost-In-The-Shell-72124.html
