id,name,brand,collection,price,imageUrl,description,category,notes_top,notes_middle,notes_base,officialUrl,fragranticaUrl
1011,Chance Eau Fraîche,Chanel,Iconic Lines,$125.00,/images/perfumes/Chanel_Chance_Eau_Fraiche.png,"A vibrant and sparkling floral-sparkling fragrance, like a wave of energy.",Fresh,"Lemon, Cedar","Pink Pepper, Water Hyacinth, Jasmine","Teak Wood, Iris, Amber, Patchouli, Vetiver, White Musk",https://www.chanel.com/us/fragrance/p/126410/chance-eau-fraiche-eau-de-toilette-spray/,https://www.fragrantica.com/perfume/Chanel/Chance-Eau-Fraiche-121.html
1012,Chance Eau Tendre,Chanel,Iconic Lines,$125.00,/images/perfumes/Chanel_Chance_Eau_Tendre.png,A delicate and unexpectedly fruity-floral fragrance for women.,Fruity,"Quince, Grapefruit","Hyacinth, Jasmine","Musk, Iris, Virginia Cedar, Amber",https://www.chanel.com/us/fragrance/p/126260/chance-eau-tendre-eau-de-parfum-spray/,https://www.fragrantica.com/perfume/Chanel/Chance-Eau-Tendre-53415.html
1013,Chance Eau Vive,Chanel,Iconic Lines,$125.00,/images/perfumes/Chanel_Chance_Eau_Vive.png,"A vibrant and energetic floral-citrus scent, a dazzling burst of optimism.",Fresh,"Grapefruit, Blood Orange, Citrus","Jasmine, White Musk","Vetiver, Cedar, Iris",https://www.chanel.com/us/fragrance/p/126520/chance-eau-vive-eau-de-toilette-spray/,https://www.fragrantica.com/perfume/Chanel/Chance-Eau-Vive-31031.html
1014,Chance Eau Splendide,Chanel,Iconic Lines,N/A (Limited/Discontinued),/images/perfumes/Chanel_Chance_Eau_Splendide.png,"A rare and splendid interpretation of Chance, likely with enhanced floral or sparkling notes. (Limited/Discontinued)",Floral,Citrus,White Flowers,"Musk, Amber",,
1015,Bleu de Chanel Eau de Toilette,Chanel,Iconic Lines,$115.00,/images/perfumes/Chanel_Bleu_de_Chanel_EDT.png,An aromatic-woody fragrance with a captivating trail. A tribute to masculine freedom.,Woody,"Grapefruit, Lemon, Mint, Pink Pepper","Ginger, Nutmeg, Jasmine, Iso E Super","Incense, Vetiver, Cedar, Sandalwood, Patchouli, White Musk",https://www.chanel.com/us/fragrance/p/107360/bleu-de-chanel-eau-de-toilette-spray/,https://www.fragrantica.com/perfume/Chanel/Bleu-de-Chanel-9099.html
1016,Bleu de Chanel Eau de Parfum,Chanel,Iconic Lines,$135.00,/images/perfumes/Chanel_Bleu_de_Chanel_EDP.png,"A more intense and sensual interpretation of Bleu de Chanel, with a deeper amber-woody accord.",Woody,"Grapefruit, Lemon, Bergamot, Mint","Ginger, Nutmeg, Jasmine","Incense, Vetiver, Cedar, Sandalwood, Patchouli, Amberwood",https://www.chanel.com/us/fragrance/p/107370/bleu-de-chanel-eau-de-parfum-spray/,https://www.fragrantica.com/perfume/Chanel/Bleu-de-Chanel-Eau-de-Parfum-22180.html
1017,Bleu de Chanel Parfum,Chanel,Iconic Lines,$160.00,/images/perfumes/Chanel_Bleu_de_Chanel_Parfum.png,"The most concentrated and intense expression of Bleu de Chanel, with an even richer and more powerful trail.",Woody,"Lemon Zest, Bergamot, Mint","Lavender, Geranium, Pineapple","Cedar, Sandalwood, Amberwood, Tonka Bean, Iso E Super",https://www.chanel.com/us/fragrance/p/107380/bleu-de-chanel-parfum-spray/,https://www.fragrantica.com/perfume/Chanel/Bleu-de-Chanel-Parfum-53743.html
1018,Bleu de Chanel After Shave,Chanel,Iconic Lines,$60.00,https://placehold.co/600x600.png,"A fresh and invigorating after-shave lotion, scented with the aromatic-woody notes of Bleu de Chanel.",Fresh,"Lemon, Bergamot",Ginger,"Cedar, Sandalwood",https://www.chanel.com/us/fragrance/p/107800/bleu-de-chanel-after-shave-lotion/,
1019,Gabrielle Chanel Eau de Parfum,Chanel,Iconic Lines,$165.00,/images/perfumes/Chanel_Gabrielle_EDP.png,"A luminous and airy floral fragrance, dedicated to Gabrielle Chanel, with a radiant blend of four white flowers.",Floral,"Mandarin Orange, Grapefruit, Black Currant","Orange Blossom, Jasmine, Ylang-Ylang, Tuberose, Lily-of-the-Valley","Sandalwood, Musk, Cashmeran",https://www.chanel.com/us/fragrance/p/120520/gabrielle-chanel-eau-de-parfum-spray/,https://www.fragrantica.com/perfume/Chanel/Gabrielle-43718.html
1020,Gabrielle Chanel Essence,Chanel,Iconic Lines,$175.00,/images/perfumes/Chanel_Gabrielle_Essence.png,"A more opulent and enveloping interpretation of Gabrielle Chanel, with a richer, warmer floral heart.",Floral,"Citrus, Petitgrain, Red Berries, Peach","Tuberose, Jasmine, Orange Blossom, Ylang-Ylang, Coconut","Musk, Sandalwood, Vanilla",https://www.chanel.com/us/fragrance/p/120525/gabrielle-chanel-essence-eau-de-parfum-spray/,https://www.fragrantica.com/perfume/Chanel/Gabrielle-Essence-56608.html
1021,Gabrielle Chanel L'Eau,Chanel,Iconic Lines,N/A (Limited/Discontinued),https://placehold.co/600x600.png,"A rumored lighter, possibly fresher version of Gabrielle, potentially limited or unreleased.",Floral,Citrus,White Flowers,Musk,,
1022,Coco Eau de Parfum,Chanel,Iconic Lines,$146.00,/images/perfumes/Chanel_Coco_EDP.png,An opulent oriental-spicy fragrance that evokes the spirit of Gabrielle Chanel's baroque apartment.,Oriental,"Coriander, Pomegranate Blossom, Mandarin Orange, Peach, Jasmine, Bulgarian Rose","Mimosa, Cloves, Orange Blossom, Clover, Rose","Amber, Sandalwood, Tonka Bean, Opoponax, Civet, Vanilla",https://www.chanel.com/us/fragrance/p/113520/coco-eau-de-parfum-spray/,https://www.fragrantica.com/perfume/Chanel/Coco-3.html
1023,Coco Eau de Toilette,Chanel,Iconic Lines,$120.00,/images/perfumes/Chanel_Coco_EDT.png,"A lighter, more vibrant take on the classic Coco, retaining its oriental-spicy character.",Oriental,"Coriander, Peach, Mandarin Orange, Jasmine","Rose, Cloves, Orange Blossom","Sandalwood, Amber, Vanilla, Tonka Bean",https://www.chanel.com/us/fragrance/p/113450/coco-eau-de-toilette-spray/,https://www.fragrantica.com/perfume/Chanel/Coco-Eau-de-Toilette-4.html
1024,Coco Noir,Chanel,Iconic Lines,$146.00,/images/perfumes/Chanel_Coco_Noir.png,"A luminous oriental fragrance that brings to mind a Venetian night, a captivating interplay of shadow and light.",Oriental,"Grapefruit, Bergamot, Orange","Rose, Geranium, Jasmine, Patchouli","Tonka Bean, Sandalwood, Vanilla, White Musk, Olibanum, Benzoin",https://www.chanel.com/us/fragrance/p/113620/coco-noir-eau-de-parfum-spray/,https://www.fragrantica.com/perfume/Chanel/Coco-Noir-16782.html
1025,Allure Eau de Parfum,Chanel,Iconic Lines,$146.00,/images/perfumes/Chanel_Allure_EDP.png,"A sparkling, warm, and sensual oriental-floral fragrance for a woman of radiant elegance.",Oriental,"Lemon, Mandarin Orange, Passionfruit, Peach, Bergamot","Honeysuckle, Freesia, Jasmine, Magnolia, Water Lily, Peony, May Rose","Vanilla, Sandalwood, Amber, Vetiver, Patchouli",https://www.chanel.com/us/fragrance/p/112530/allure-eau-de-parfum-spray/,https://www.fragrantica.com/perfume/Chanel/Allure-Eau-de-Parfum-614.html
1026,Allure Sensuelle,Chanel,Iconic Lines,$146.00,/images/perfumes/Chanel_Allure_Sensuelle.png,"A warmer, spicier, and more intense interpretation of Allure, with a captivating oriental-floral harmony.",Oriental,"Patchouli, Pink Pepper, Bergamot, Mandarin Orange","Rose, Jasmine, Iris, Candied Fruit","Patchouli, Vanilla, Amber, Vetiver, Labdanum, Sandalwood",https://www.chanel.com/us/fragrance/p/112930/allure-sensuelle-eau-de-parfum-spray/,https://www.fragrantica.com/perfume/Chanel/Allure-Sensuelle-Eau-de-Parfum-130.html
1027,Allure Homme,Chanel,Iconic Lines,$110.00,/images/perfumes/Chanel_Allure_Homme.png,"A fresh, woody, and spicy fragrance for men, with a complex and harmonious composition.",Woody,"Lemon, Bergamot, Peach, Mandarin Orange","Freesia, Jasmine, Gardenia, Patchouli","Sandalwood, Vanilla, Cedar, Vetiver, Amber",https://www.chanel.com/us/fragrance/p/121460/allure-homme-eau-de-toilette-spray/,https://www.fragrantica.com/perfume/Chanel/Allure-Homme-613.html
1028,Allure Homme Sport,Chanel,Iconic Lines,$110.00,/images/perfumes/Chanel_Allure_Homme_Sport.png,"A casual, brisk fragrance spiked with notes of citrus and cedar.",Fresh,"Orange, Sea Notes, Aldehydes, Blood Mandarin","Pepper, Neroli, Cedar","Tonka Bean, Vanilla, White Musk, Amber, Vetiver, Elemi",https://www.chanel.com/us/fragrance/p/123380/allure-homme-sport-eau-de-toilette-spray/,https://www.fragrantica.com/perfume/Chanel/Allure-Homme-Sport-612.html
1029,Allure Homme Sport Eau Extrême,Chanel,Iconic Lines,$130.00,/images/perfumes/Chanel_Allure_Homme_Sport_Eau_Extreme.png,"An intense, powerful, and aromatic version of Allure Homme Sport, designed for extreme sensations.",Woody,"Mint, Mandarin Orange, Cypress, Sage",Pepper,"Tonka Bean, Musk, Sandalwood, Cedar",https://www.chanel.com/us/fragrance/p/123560/allure-homme-sport-eau-extreme-eau-de-parfum-spray/,https://www.fragrantica.com/perfume/Chanel/Allure-Homme-Sport-Eau-Extreme-14981.html
1030,Allure Homme Sport Cologne,Chanel,Iconic Lines,$100.00,/images/perfumes/Chanel_Allure_Homme_Sport_Cologne.png,"A vibrant and sparkling citrus fragrance, a light and refreshing take on the sporty Allure.",Fresh,"Lemon, Bergamot, Aldehydes, Mandarin Orange","Petitgrain, Spicy Notes, Fir Resin","Tonka Bean, White Musk, Cedar, Pepper",https://www.chanel.com/us/fragrance/p/123610/allure-homme-sport-cologne-spray/,https://www.fragrantica.com/perfume/Chanel/Allure-Homme-Sport-Cologne-6205.html
1031,Allure Homme Edition Blanche,Chanel,Iconic Lines,$125.00,/images/perfumes/Chanel_Allure_Homme_Edition_Blanche.png,"A fresh, oriental, and woody fragrance for men, with a unique combination of fresh and warm accords.",Woody,"Lemon, Bergamot","Sandalwood, Amber","Vetiver, Vanilla, Musk",https://www.chanel.com/us/fragrance/p/121570/allure-homme-edition-blanche-eau-de-parfum-spray/,https://www.fragrantica.com/perfume/Chanel/Allure-Homme-Edition-Blanche-Parfum-6204.html
1032,N°19 Eau de Parfum,Chanel,Iconic Lines,$146.00,/images/perfumes/Chanel_N19_EDP.png,"A bold, green, and powdery floral fragrance, a tribute to Coco Chanel's birthday.",Floral,"Galbanum, Neroli, Bergamot","Iris, Rose, Lily-of-the-Valley, Narcissus","Vetiver, Sandalwood, Leather, Oakmoss",https://www.chanel.com/us/fragrance/p/119530/n19-eau-de-parfum-spray/,https://www.fragrantica.com/perfume/Chanel/Chanel-No-19-Eau-de-Parfum-1407.html
1033,N°19 Eau de Toilette,Chanel,Iconic Lines,$120.00,/images/perfumes/Chanel_N19_EDT.png,"A vibrant and fresh interpretation of N°19, with a lively green and floral signature.",Floral,"Galbanum, Hyacinth, Neroli, Bergamot","Iris, Rose, Lily-of-the-Valley, Narcissus","Vetiver, Sandalwood, Oakmoss, Leather, Musk",https://www.chanel.com/us/fragrance/p/119450/n19-eau-de-toilette-spray/,https://www.fragrantica.com/perfume/Chanel/Chanel-No-19-328.html
1034,N°19 Poudré,Chanel,Iconic Lines,$146.00,/images/perfumes/Chanel_N19_Poudre.png,"A soft, powdery, and musky reinterpretation of N°19, emphasizing iris and white musk.",Floral,"Galbanum, Neroli, Mandarin Orange","Iris, Jasmine","Vetiver, Musk, Tonka Bean",https://www.chanel.com/us/fragrance/p/119570/n19-poudre-eau-de-parfum-spray/,https://www.fragrantica.com/perfume/Chanel/Chanel-No-19-Poudre-12593.html
1035,Coromandel,Chanel,Les Exclusifs de Chanel,$350.00,/images/perfumes/Chanel_Coromandel.png,"An intense ambery fragrance with notes of patchouli, frankincense and benzoin, inspired by Coromandel screens.",Oriental,"Bitter Orange, Neroli, Bergamot","Patchouli, Rose, Jasmine","Benzoin, Amber, Olibanum, Woody Notes, Musk, Vanilla",https://www.chanel.com/us/fragrance/p/122160/les-exclusifs-de-chanel-coromandel-eau-de-parfum/,https://www.fragrantica.com/perfume/Chanel/Coromandel-Eau-de-Parfum-38981.html
1036,Sycomore,Chanel,Les Exclusifs de Chanel,$350.00,/images/perfumes/Chanel_Sycomore.png,"A noble, powerful and smoky vetiver-centered fragrance, evoking a refined woody aroma.",Woody,"Spices, Pink Pepper, Aldehydes","Vetiver, Violet, Juniper","Sandalwood, Tobacco, Cypress",https://www.chanel.com/us/fragrance/les-exclusifs-de-chanel/c/7x1x1x32/sycomore/,https://www.fragrantica.com/perfume/Chanel/Sycomore-Eau-de-Parfum-38980.html
1037,Beige,Chanel,Les Exclusifs de Chanel,$350.00,/images/perfumes/Chanel_Beige.png,"A shimmering floral honey scent, an understated elegance and discreet luxury.",Floral,"Freesia, Frangipani","Honey, Hawthorn",Musk,https://www.chanel.com/us/fragrance/p/122140/les-exclusifs-de-chanel-beige-eau-de-parfum/,https://www.fragrantica.com/perfume/Chanel/Beige-Eau-de-Parfum-38982.html
1038,Bois des Îles,Chanel,Les Exclusifs de Chanel,$350.00,/images/perfumes/Chanel_Bois_des_Iles.png,"A rich, exotic oriental-woody fragrance, a warm and sensual journey to distant lands.",Woody,"Aldehydes, Bergamot, Coriander, Peach","Iris, Rose, Jasmine, Ylang-Ylang","Sandalwood, Vanilla, Tonka Bean, Amber",https://www.chanel.com/us/fragrance/p/122150/les-exclusifs-de-chanel-bois-des-iles-eau-de-parfum/,https://www.fragrantica.com/perfume/Chanel/Bois-des-Iles-Eau-de-Parfum-38983.html
1039,Cuir de Russie,Chanel,Les Exclusifs de Chanel,$350.00,/images/perfumes/Chanel_Cuir_de_Russie.png,"A sophisticated leather fragrance, capturing the elegance and daring spirit of Russian leather.",Woody,"Orange Blossom, Bergamot, Mandarin Orange","Iris, Jasmine, Rose, Ylang-Ylang","Leather, Birch, Tobacco, Musk, Vetiver",https://www.chanel.com/us/fragrance/p/122180/les-exclusifs-de-chanel-cuir-de-russie-eau-de-parfum/,https://www.fragrantica.com/perfume/Chanel/Cuir-de-Russie-Eau-de-Parfum-38984.html
1040,Gardénia,Chanel,Les Exclusifs de Chanel,$350.00,/images/perfumes/Chanel_Gardenia.png,"A luminous and creamy white floral, an ode to the gardenia flower, delicate yet captivating.",Floral,"Green Notes, Orange Blossom","Gardenia, Tuberose, Jasmine","Musk, Sandalwood, Vetiver",https://www.chanel.com/us/fragrance/p/122210/les-exclusifs-de-chanel-gardenia-eau-de-parfum/,https://www.fragrantica.com/perfume/Chanel/Gardenia-Eau-de-Parfum-38985.html
1041,Jersey,Chanel,Les Exclusifs de Chanel,$350.00,/images/perfumes/Chanel_Jersey.png,"A soft and comfortable floral-musk fragrance, inspired by the softness of jersey fabric.",Floral,"Grass, Citrus Notes","Lavender, Jasmine, Rose","Musk, Vanilla, Tonka Bean",https://www.chanel.com/us/fragrance/p/122250/les-exclusifs-de-chanel-jersey-eau-de-parfum/,https://www.fragrantica.com/perfume/Chanel/Jersey-Eau-de-Parfum-38986.html
1042,Misia,Chanel,Les Exclusifs de Chanel,$350.00,/images/perfumes/Chanel_Misia.png,"A powdery, floral, and balsamic fragrance, an homage to Misia Sert, Gabrielle Chanel's close friend.",Floral,"Aldehydes, Lychee","Rose, Violet, Orris Root","Opoponax, Tonka Bean, Benzoin, Vanilla",https://www.chanel.com/us/fragrance/p/122280/les-exclusifs-de-chanel-misia-eau-de-parfum/,https://www.fragrantica.com/perfume/Chanel/Misia-30245.html
1043,N°18,Chanel,Les Exclusifs de Chanel,$350.00,/images/perfumes/Chanel_N18.png,"A sparkling and transparent floral-fruity fragrance, bright and precious like a jewel.",Fruity,"Ambrette (Musk Mallow), Red Fruits","Iris, Rose, Narcissus","Woody Notes, White Musk",https://www.chanel.com/us/fragrance/p/122310/les-exclusifs-de-chanel-n18-eau-de-parfum/,https://www.fragrantica.com/perfume/Chanel/No-18-Eau-de-Parfum-38988.html
1044,N°22,Chanel,Les Exclusifs de Chanel,$350.00,/images/perfumes/Chanel_N22.png,"A radiant and refined floral aldehyde fragrance, a softer and more feminine counterpart to N°5.",Floral,"Aldehydes, Neroli, Lily-of-the-Valley, Bergamot, Peach","Jasmine, Rose, Ylang-Ylang, Tuberose","Vetiver, Vanilla, Musk",https://www.chanel.com/us/fragrance/p/122340/les-exclusifs-de-chanel-n22-eau-de-parfum/,https://www.fragrantica.com/perfume/Chanel/No-22-Eau-de-Parfum-38989.html
1045,31 Rue Cambon,Chanel,Les Exclusifs de Chanel,$350.00,/images/perfumes/Chanel_31_Rue_Cambon.png,"A sophisticated chypre fragrance, recalling the heart of Chanel's couture world.",Chypre,"Bergamot, Pepper, Green Notes","Iris, Rose, Jasmine","Patchouli, Vetiver, Amber, Incense",https://www.chanel.com/us/fragrance/p/122370/les-exclusifs-de-chanel-31-rue-cambon-eau-de-parfum/,https://www.fragrantica.com/perfume/Chanel/31-Rue-Cambon-Eau-de-Parfum-38990.html
1046,1932,Chanel,Les Exclusifs de Chanel,$350.00,/images/perfumes/Chanel_1932.png,"A luminous and elegant floral-woody fragrance, inspired by Gabrielle Chanel's first diamond collection.",Floral,"Aldehydes, Bergamot, Neroli","Jasmine, Rose, Lilac","Vetiver, Sandalwood, Orris Root, Musk",https://www.chanel.com/us/fragrance/p/122390/les-exclusifs-de-chanel-1932-eau-de-parfum/,https://www.fragrantica.com/perfume/Chanel/1932-Eau-de-Parfum-38991.html
1047,Boy,Chanel,Les Exclusifs de Chanel,$350.00,/images/perfumes/Chanel_Boy.png,"A captivating fougère, blurring masculine and feminine lines, inspired by Boy Capel.",Aromatic,"Lavender, Geranium, Grapefruit","Rose, Orange Blossom","Sandalwood, Musk, Heliotrope, Vanilla",https://www.chanel.com/us/fragrance/p/122420/les-exclusifs-de-chanel-boy-eau-de-parfum/,https://www.fragrantica.com/perfume/Chanel/Boy-Chanel-39447.html
1048,Le Lion de Chanel,Chanel,Les Exclusifs de Chanel,$350.00,/images/perfumes/Chanel_Le_Lion.png,"An opulent and powerful oriental-amber fragrance, embodying the strength and grandeur of the lion.",Oriental,"Bergamot, Lemon","Labdanum, Amber, Patchouli","Sandalwood, Vanilla, Musk, Leather",https://www.chanel.com/us/fragrance/p/122480/les-exclusifs-de-chanel-le-lion-de-chanel-eau-de-parfum/,https://www.fragrantica.com/perfume/Chanel/Le-Lion-de-Chanel-64903.html
1049,Comète,Chanel,Les Exclusifs de Chanel,$350.00,/images/perfumes/Chanel_Comete.png,"A luminous and enchanting floral fragrance, inspired by Gabrielle Chanel's fascination with shooting stars.",Floral,"Aldehydes, Cherry Blossom","Iris, Heliotrope","Musk, Vanilla",https://www.chanel.com/us/fragrance/p/122490/les-exclusifs-de-chanel-comete-eau-de-parfum/,https://www.fragrantica.com/perfume/Chanel/Comete-70535.html
1050,Paris-Biarritz,Chanel,Les Eaux de Chanel,$140.00,/images/perfumes/Chanel_Paris_Biarritz.png,"A vibrant and invigorating citrus-aromatic fragrance, capturing the energy of the Basque coast.",Fresh,"Tangerine, Bergamot, Grapefruit, Lemon","Neroli, Lily-of-the-Valley, Green Notes","White Musk, Patchouli",https://www.chanel.com/us/fragrance/p/102400/les-eaux-de-chanel-paris-biarritz-eau-de-toilette-spray/,https://www.fragrantica.com/perfume/Chanel/Paris-Biarritz-50124.html
1051,Paris-Deauville,Chanel,Les Eaux de Chanel,$140.00,/images/perfumes/Chanel_Paris_Deauville.png,"An aromatic, spicy and woody, a scent of the open air, evoking the lush Normandy countryside.",Fresh,"Orange Peel, Basil, Bergamot, Lemon","Rose, Jasmine, Green Notes","Patchouli, Woody Notes",https://www.chanel.com/us/fragrance/p/102420/les-eaux-de-chanel-paris-deauville-eau-de-toilette/,https://www.fragrantica.com/perfume/Chanel/Paris-Deauville-50125.html
1052,Paris-Venise,Chanel,Les Eaux de Chanel,$140.00,/images/perfumes/Chanel_Paris_Venise.png,"A fresh and sensual oriental fragrance, recalling the exotic charm of Venice.",Oriental,"Neroli, Bergamot, Petitgrain, Pink Pepper","Iris, Geranium, Rose","Amber, Vanilla, Tonka Bean, White Musk",https://www.chanel.com/us/fragrance/p/102430/les-eaux-de-chanel-paris-venise-eau-de-toilette-spray/,https://www.fragrantica.com/perfume/Chanel/Paris-Venise-50126.html
1053,Paris-Riviera,Chanel,Les Eaux de Chanel,$140.00,/images/perfumes/Chanel_Paris_Riviera.png,"A solar and joyful floral-citrus fragrance, an evocation of the vibrant French Riviera.",Floral,"Sicilian Orange, Citrus","Neroli, Jasmine","Benzoin, Musk",https://www.chanel.com/us/fragrance/p/102440/les-eaux-de-chanel-paris-riviera-eau-de-toilette-spray/,https://www.fragrantica.com/perfume/Chanel/Paris-Riviera-53745.html
1054,Paris-Édimbourg,Chanel,Les Eaux de Chanel,$140.00,/images/perfumes/Chanel_Paris_Edinburgh.png,"An aromatic and woody fragrance, a journey to the Scottish Highlands, raw and wild.",Woody,"Lemon, Bergamot, Cypress","Juniper Berries, Pine, Vetiver","Cedar, Vanilla, Musk",https://www.chanel.com/us/fragrance/p/102460/les-eaux-de-chanel-paris-edimbourg-eau-de-toilette-spray/,https://www.fragrantica.com/perfume/Chanel/Paris-Edimbourg-67056.html
1055,Paris-Paris,Chanel,Les Eaux de Chanel,$140.00,/images/perfumes/Chanel_Paris_Paris.png,"A sparkling floral-woody fragrance, an ode to Parisian elegance and carefree spirit.",Floral,Damask Rose,Pink Pepper,Patchouli,https://www.chanel.com/us/fragrance/p/102470/les-eaux-de-chanel-paris-paris-eau-de-toilette-spray/,https://www.fragrantica.com/perfume/Chanel/Paris-Paris-73130.html
