id,name,brand,collection,price,imageUrl,description,category,notes_top,notes_middle,notes_base,officialUrl,fragranticaUrl
3011,Aqua Vitae Forte,Maison Francis Kurkdjian,Aqua,$280.00,/images/perfumes/MFK_Aqua_Vitae_Forte.png,"A stronger and more sensual version of Aqua Vitae, with added warmth and spice.",Fresh,"Bergamot, Lemon, Sicilian Mandarin","Ylang-Ylang, Orange Blossom, Hedione","Sandalwood, Vetiver, Tonka Bean",https://www.franciskurkdjian.com/us/p/aqua-vitae-forte-eau-de-parfum-RA10030.html,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Aqua-Vitae-Forte-23820.html
3012,Aqua Celestia Cologne Forte,Maison Francis Kurkdjian,Aqua,$205.00,/images/perfumes/MFK_Aqua_Celestia_Cologne_Forte.png,"A luminous and fresh scent, evoking a clear blue sky, with lime and blackcurrant.",Fresh,"Lime, Blackcurrant","Mimosa, Jasmine",White Musk,https://www.franciskurkdjian.com/us/p/aqua-celestia-cologne-forte-eau-de-parfum-RA10120.html,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Aqua-Celestia-Cologne-Forte-66881.html
3013,Aqua Celestia Forte,Maison Francis Kurkdjian,Aqua,$280.00,/images/perfumes/MFK_Aqua_Celestia_Forte.png,"A more intense and bright version of Aqua Celestia, with rich floral and green notes.",Fresh,"Lime, Mint","Blackcurrant, Jasmine, Hedione",Musk,https://www.franciskurkdjian.com/us/p/aqua-celestia-forte-eau-de-parfum-RA10040.html,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Aqua-Celestia-Forte-44675.html
3014,Aqua Media Cologne Forte,Maison Francis Kurkdjian,Aqua,$205.00,/images/perfumes/MFK_Aqua_Media_Cologne_Forte.png,"A joyful and green fragrance, a bridge between sky and water, with bergamot and fennel.",Fresh,"Bergamot, Fennel","Hedione, Floral Notes","Musk, Woody Notes",https://www.franciskurkdjian.com/us/p/aqua-media-cologne-forte-eau-de-parfum-RA10150.html,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Aqua-Media-Cologne-Forte-78632.html
3015,Grand Soir,Maison Francis Kurkdjian,Modern Masterpieces,$240.00,/images/perfumes/MFK_Grand_Soir.png,"A warm, ambery fragrance that evokes the magic of a Parisian evening.",Oriental,"Labdanum, Cistus",Benzoin,"Amber, Vanilla, Tonka Bean, Patchouli",https://www.franciskurkdjian.com/us/p/grand-soir-eau-de-parfum-RA20070.html,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Grand-Soir-40620.html
3016,Petit Matin,Maison Francis Kurkdjian,Modern Masterpieces,$240.00,/images/perfumes/MFK_Petit_Matin.png,"A fresh and luminous fragrance, capturing the soft light of a Parisian morning.",Fresh,"Litsea Cubeba, Lemon, Orange Blossom","Lavandin, Hawthorn","Musk, Ambroxan",https://www.franciskurkdjian.com/us/p/petit-matin-eau-de-parfum-RA20080.html,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Petit-Matin-40621.html
3017,A La Rose Eau de Parfum,Maison Francis Kurkdjian,Modern Masterpieces,$275.00,/images/perfumes/MFK_A_La_Rose_EDP.png,"A tribute to femininity, a declaration of love for all women captured in a fragrance, with two types of rose.",Floral,"Calabrian Bergamot, California Orange","Bulgarian Rose, Grasses Rose, Violet, Magnolia","Cedar, Musk",https://www.franciskurkdjian.com/us/p/a-la-rose-eau-de-parfum-RA14010.html,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/A-La-Rose-25630.html
3018,A La Rose L'Eau A La Rose,Maison Francis Kurkdjian,Modern Masterpieces,$225.00,/images/perfumes/MFK_LEau_A_La_Rose.png,"A lighter and fresher interpretation of A La Rose, sparkling with dewy rose petals and fruit.",Floral,"Litchi, Pear","Grasses Rose, Damask Rose",Musk,https://www.franciskurkdjian.com/us/p/l-eau-a-la-rose-eau-de-toilette-RA14020.html,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/L-eau-a-la-Rose-55695.html
3019,L'Homme À la Rose,Maison Francis Kurkdjian,Modern Masterpieces,$275.00,/images/perfumes/MFK_LHomme_A_La_Rose.png,"A fresh and modern rose fragrance for men, challenging traditional notions of masculinity.",Floral,"Grapefruit, Damask Rose","Grasses Rose, Sage","Amberwood, Cistus",https://www.franciskurkdjian.com/us/p/l-homme-a-la-rose-eau-de-parfum-RA14030.html,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/L-Homme-A-la-Rose-60914.html
3020,Amyris Femme Eau de Parfum,Maison Francis Kurkdjian,Amyris,$275.00,/images/perfumes/MFK_Amyris_Femme_EDP.png,"A bright and vibrant floral-woody-amber fragrance, combining amyris and iris.",Floral,"Lemon Blossom, Orange","Amyris, Iris","Vetiver, Amber, Musk",https://www.franciskurkdjian.com/us/p/amyris-femme-eau-de-parfum-RA16010.html,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Amyris-Femme-17180.html
3021,Amyris Femme Extrait de Parfum,Maison Francis Kurkdjian,Amyris,$480.00,/images/perfumes/MFK_Amyris_Femme_Extrait.png,"A more intense and sensual version of Amyris Femme, amplifying its woody and amber facets.",Floral,Lemon Blossom,"Amyris, Iris","Amber, Vanilla, Vetiver",https://www.franciskurkdjian.com/us/p/amyris-femme-extrait-de-parfum-RA16040.html,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Amyris-Femme-Extrait-de-Parfum-49299.html
3022,Amyris Homme Eau de Toilette,Maison Francis Kurkdjian,Amyris,$205.00,/images/perfumes/MFK_Amyris_Homme_EDT.png,"A fresh and vibrant woody-aromatic fragrance for men, with amyris and rosemary.",Woody,"Rosemary, Mandarin Orange","Amyris, Iris","Tonka Bean, Woody Notes",https://www.franciskurkdjian.com/us/p/amyris-homme-eau-de-toilette-RA16020.html,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Amyris-Homme-17181.html
3023,Amyris Homme Extrait de Parfum,Maison Francis Kurkdjian,Amyris,$310.00,/images/perfumes/MFK_Amyris_Homme_Extrait.png,"A more powerful and sophisticated version of Amyris Homme, intensifying its woody and amber character.",Woody,"Mandarin Orange, Saffron","Amyris, Iris","Coffee, Vanilla, Tonka Bean, Amberwood",https://www.franciskurkdjian.com/us/p/amyris-homme-extrait-de-parfum-RA16050.html,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Amyris-Homme-Extrait-de-Parfum-49300.html
3024,Gentle Fluidity Gold,Maison Francis Kurkdjian,Gentle Fluidity,$225.00,/images/perfumes/MFK_Gentle_Fluidity_Gold.png,"Two eaux de parfum, two distinct olfactory silhouettes, using the same ingredients, highlighting a warm, generous trail.",Oriental,"Juniper Berries, Nutmeg",Coriander Seed,"Musks, Ambery Woods, Vanilla",https://www.franciskurkdjian.com/us/p/gentle-fluidity-gold-edition-eau-de-parfum-RA20110.html,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Gentle-Fluidity-Gold-53242.html
3025,Gentle Fluidity Silver,Maison Francis Kurkdjian,Gentle Fluidity,$225.00,/images/perfumes/MFK_Gentle_Fluidity_Silver.png,"Two eaux de parfum, two distinct olfactory silhouettes, using the same ingredients, highlighting a fresh, vibrant trail.",Aromatic,"Juniper Berries, Nutmeg",Coriander Seed,"Musks, Amberwood, Vanilla",https://www.franciskurkdjian.com/us/p/gentle-fluidity-silver-edition-eau-de-parfum-RA20120.html,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Gentle-Fluidity-Silver-53243.html
3026,724,Maison Francis Kurkdjian,City Inspirations,$275.00,/images/perfumes/MFK_724.png,"A luminous, crisp, and energetic urban fragrance, inspired by the rhythm of New York City.",Fresh,"Aldehydes, Bergamot","Jasmine, Sweet Pea, White Philadelphus","Sandalwood, White Musk",https://www.franciskurkdjian.com/us/p/724-eau-de-parfum-RA20160.html,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/724-74076.html
3027,Absolue Pour le Matin,Maison Francis Kurkdjian,Absolues,$240.00 (Discontinued),/images/perfumes/MFK_Absolue_Pour_le_Matin.png,"A bright and citrusy cologne, capturing the fresh light of dawn. (Discontinued)",Fresh,"Lemon, Bergamot",Petitgrain,White Musk,,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Absolue-Pour-le-Matin-7360.html
3028,Absolue Pour le Soir,Maison Francis Kurkdjian,Absolues,$240.00 (Discontinued),/images/perfumes/MFK_Absolue_Pour_le_Soir.png,"A warm and sensual oriental fragrance, evoking the rich aromas of a summer evening. (Discontinued)",Oriental,Benzoin,Incense,"Cedar, Honey, Cumin",,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Absolue-Pour-le-Soir-7361.html
3029,Féminin Pluriel,Maison Francis Kurkdjian,Pluriel,$275.00,/images/perfumes/MFK_Feminin_Pluriel.png,A beautiful bouquet of floral notes for a truly multifaceted woman.,Floral,"Iris, Violet, Rose, Jasmine, Lily-of-the-Valley, Orange Blossom","Vetiver, Patchouli",Musk,https://www.franciskurkdjian.com/us/p/feminin-pluriel-eau-de-parfum-RA18010.html,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Feminin-Pluriel-25631.html
3030,Masculin Pluriel,Maison Francis Kurkdjian,Pluriel,$275.00,/images/perfumes/MFK_Masculin_Pluriel.png,A timeless and elegant fougère for a man with multiple facets.,Aromatic,"Lavender, Lemon","Leather, Cedar, Vetiver, Patchouli",Vanilla,https://www.franciskurkdjian.com/us/p/masculin-pluriel-eau-de-toilette-RA18020.html,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Masculin-Pluriel-25632.html
3031,Relets d'Ambre,Maison Francis Kurkdjian,Rare,N/A (Discontinued/Extremely Rare),https://placehold.co/600x600.png,"A very rare or possibly discontinued fragrance, likely featuring amber notes.",Oriental,,,Amber,,
